ids,articulo,organismo_sigla,Total
ANCAP-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),ANCAP,0.1
ANEP-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),ANEP,0
ANP-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),ANP,0
ASSE-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),ASSE,0
BPS-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),BPS,0
BSE-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),BSE,0
I. Canelones-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),I. Canelones,0
I. Montevideo-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),I. Montevideo,0
I. Paysandú-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),I. Paysandú,0
I. Treinta y Tres-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),I. Treinta y Tres,0
INAU-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),INAU,0
JUTEP-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),JUTEP,0
MDN-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),MDN,0
MEC-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),MEC,0
MGAP-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),MGAP,0
MI-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),MI,0
MIEM-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),MIEM,0
MSP-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),MSP,0
MTOP-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),MTOP,0
P. Legislativo-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),P. Legislativo,0
PJ-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),PJ,0
UdelaR-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),UdelaR,0
MEF-ARRENDAMIENTO DE SALA DE JUEGO,ARRENDAMIENTO DE SALA DE JUEGO,MEF,4.8
ASSE-DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,ASSE,0.1
BROU-DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,BROU,0
MA-DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,MA,0
MRREE-DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,MRREE,0
MSP-DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,MSP,0
ANCAP-GASOIL COMUN,GASOIL COMUN,ANCAP,0.1
ANP-GASOIL COMUN,GASOIL COMUN,ANP,0
I. Montevideo-GASOIL COMUN,GASOIL COMUN,I. Montevideo,0
MDN-GASOIL COMUN,GASOIL COMUN,MDN,0
P. Legislativo-GASOIL COMUN,GASOIL COMUN,P. Legislativo,0.1
ANTEL-GESTION DE PROYECTOS TIC,GESTION DE PROYECTOS TIC,ANTEL,0
BROU-GESTION DE PROYECTOS TIC,GESTION DE PROYECTOS TIC,BROU,0.1
I. Treinta y Tres-GESTION DE PROYECTOS TIC,GESTION DE PROYECTOS TIC,I. Treinta y Tres,0.3
ASSE-KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,ASSE,0.3
Div.Créd.-KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,Div.Créd.,0.1
MDN-KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,MDN,0
MEF-KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,MEF,0
MI-KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,MI,0
