organismo_codigo,monto_total,organismo_nombre,organismo_sigla,categoria
14,316,Ministerio de Desarrollo Social,MIDES,Administración Central
24,353,Banco de la República del Uruguay,BROU,Entes autónomos
16,402,Diversos Créditos,Div.Créd.,Otros
23,456,Administración Nacional de Educación Pública,ANEP,Entes autónomos
5,548,"Ministerio de Ganadería, Agricultura y Pesca",MGAP,Administración Central
66,655,Administración Nacional de Puertos,ANP,Servicios descentralizados
10,659,Ministerio de Defensa Nacional,MDN,Administración Central
17,1210,Ministerio de Salud Pública,MSP,Administración Central
28,1330,Intendencia de Montevideo,I. Montevideo,Gobiernos Departamentales
32,1426,Administración de las Obras Sanitarias del Estado,OSE,Servicios descentralizados
3,1513,Ministerio del Interior,MI,Administración Central
18,1771,Administración de Servicios de Salud del Estado,ASSE,Servicios descentralizados
2,1793,Ministerio de Economía y Finanzas,MEF,Administración Central
56,6761,Administración Nacional de Usinas y Trasmisiones Eléctricas,UTE,Entes autónomos
59,32397,"Administración Nacional de Combustible, Alcohol y Portland",ANCAP,Entes autónomos
