articulo,Total
Contenedor metalico para residuos - norma unit 10571,75790
Impresion de afiche,2319
Mantenimiento preventivo para equipos de transporte (service),2005.4
Camion doble cabina,1097.6
Arrendamiento de local,978.6
Limpieza integral de locales,717.9
Contratacion de mano de obra,685.9
Pieza de mano (odontologia),620.5
"Dieta, racion, comida preparada",582
Servicio de vigilancia,570.8
