organismo_sigla,trimestre,monto_total,anio,tri,Trimestre,monto_cuartil,cuartil
MTOP,2018.1,80,2018,1,5,Cuartil 3,3
MTOP,2018.2,339,2018,2,6,Cuartil 4,4
MTOP,2018.3,6888,2018,3,7,Cuartil 4,4
MTOP,2018.4,168,2018,4,8,Cuartil 4,4
MTSS,2018.1,21,2018,1,5,Cuartil 2,2
MTSS,2018.2,13,2018,2,6,Cuartil 1,1
MTSS,2018.3,8,2018,3,7,Cuartil 1,1
MTSS,2018.4,13,2018,4,8,Cuartil 1,1
MVOTMA,2018.1,34,2018,1,5,Cuartil 2,2
MVOTMA,2018.2,3,2018,2,6,Cuartil 1,1
MVOTMA,2018.3,17,2018,3,7,Cuartil 1,1
MVOTMA,2018.4,11,2018,4,8,Cuartil 1,1
Presidencia,2018.1,83,2018,1,5,Cuartil 3,3
Presidencia,2018.2,28,2018,2,6,Cuartil 2,2
Presidencia,2018.3,96,2018,3,7,Cuartil 3,3
Presidencia,2018.4,95,2018,4,8,Cuartil 3,3
MDN,2019.1,283,2019,1,9,Cuartil 4,4
MDN,2019.2,213,2019,2,10,Cuartil 3,3
MDN,2019.3,280,2019,3,11,Cuartil 3,3
MDN,2019.4,280,2019,4,12,Cuartil 3,3
MEC,2019.1,52,2019,1,9,Cuartil 2,2
MEC,2019.2,32,2019,2,10,Cuartil 2,2
MEC,2019.3,45,2019,3,11,Cuartil 2,2
MEC,2019.4,84,2019,4,12,Cuartil 2,2
MEF,2019.1,796,2019,1,9,Cuartil 4,4
MEF,2019.2,162,2019,2,10,Cuartil 3,3
MEF,2019.3,237,2019,3,11,Cuartil 3,3
MEF,2019.4,566,2019,4,12,Cuartil 4,4
MGAP,2019.1,45,2019,1,9,Cuartil 2,2
MGAP,2019.2,61,2019,2,10,Cuartil 2,2
MGAP,2019.3,27,2019,3,11,Cuartil 2,2
MGAP,2019.4,2190,2019,4,12,Cuartil 4,4
MI,2019.1,221,2019,1,9,Cuartil 3,3
MI,2019.2,367,2019,2,10,Cuartil 4,4
MI,2019.3,485,2019,3,11,Cuartil 4,4
MI,2019.4,289,2019,4,12,Cuartil 4,4
MIDES,2019.1,104,2019,1,9,Cuartil 3,3
MIDES,2019.2,91,2019,2,10,Cuartil 3,3
MIDES,2019.3,243,2019,3,11,Cuartil 3,3
MIDES,2019.4,131,2019,4,12,Cuartil 3,3
MIEM,2019.1,17,2019,1,9,Cuartil 1,1
MIEM,2019.2,8,2019,2,10,Cuartil 1,1
MIEM,2019.3,15,2019,3,11,Cuartil 1,1
MIEM,2019.4,13,2019,4,12,Cuartil 1,1
MRREE,2019.1,45,2019,1,9,Cuartil 2,2
MRREE,2019.2,10,2019,2,10,Cuartil 1,1
MRREE,2019.3,18,2019,3,11,Cuartil 1,1
MRREE,2019.4,14,2019,4,12,Cuartil 1,1
MSP,2019.1,146,2019,1,9,Cuartil 3,3
MSP,2019.2,370,2019,2,10,Cuartil 4,4
MSP,2019.3,214,2019,3,11,Cuartil 3,3
MSP,2019.4,285,2019,4,12,Cuartil 4,4
MT,2019.1,88,2019,1,9,Cuartil 3,3
MT,2019.2,7,2019,2,10,Cuartil 1,1
MT,2019.3,39,2019,3,11,Cuartil 2,2
MT,2019.4,21,2019,4,12,Cuartil 2,2
MTOP,2019.1,215,2019,1,9,Cuartil 3,3
MTOP,2019.2,315,2019,2,10,Cuartil 4,4
MTOP,2019.3,539,2019,3,11,Cuartil 4,4
MTOP,2019.4,50203,2019,4,12,Cuartil 4,4
MTSS,2019.1,18,2019,1,9,Cuartil 1,1
MTSS,2019.2,6,2019,2,10,Cuartil 1,1
MTSS,2019.3,12,2019,3,11,Cuartil 1,1
MTSS,2019.4,3,2019,4,12,Cuartil 1,1
MVOTMA,2019.1,11,2019,1,9,Cuartil 1,1
MVOTMA,2019.2,8,2019,2,10,Cuartil 1,1
MVOTMA,2019.3,239,2019,3,11,Cuartil 3,3
MVOTMA,2019.4,417,2019,4,12,Cuartil 4,4
Presidencia,2019.1,42,2019,1,9,Cuartil 2,2
Presidencia,2019.2,54,2019,2,10,Cuartil 2,2
Presidencia,2019.3,49,2019,3,11,Cuartil 2,2
Presidencia,2019.4,62,2019,4,12,Cuartil 2,2
MDN,2020.1,146,2020,1,13,Cuartil 3,3
MDN,2020.2,229,2020,2,14,Cuartil 4,4
MDN,2020.3,164,2020,3,15,Cuartil 3,3
MDN,2020.4,167,2020,4,16,Cuartil 3,3
MEC,2020.1,88,2020,1,13,Cuartil 3,3
MEC,2020.2,30,2020,2,14,Cuartil 2,2
MEC,2020.3,38,2020,3,15,Cuartil 2,2
MEC,2020.4,60,2020,4,16,Cuartil 3,3
MEF,2020.1,1126,2020,1,13,Cuartil 4,4
MEF,2020.2,75,2020,2,14,Cuartil 3,3
MEF,2020.3,163,2020,3,15,Cuartil 3,3
MEF,2020.4,433,2020,4,16,Cuartil 4,4
MGAP,2020.1,471,2020,1,13,Cuartil 4,4
MGAP,2020.2,25,2020,2,14,Cuartil 2,2
MGAP,2020.3,19,2020,3,15,Cuartil 2,2
MGAP,2020.4,45,2020,4,16,Cuartil 2,2
MI,2020.1,248,2020,1,13,Cuartil 4,4
MI,2020.2,149,2020,2,14,Cuartil 3,3
MI,2020.3,254,2020,3,15,Cuartil 4,4
MI,2020.4,919,2020,4,16,Cuartil 4,4
MIDES,2020.1,42,2020,1,13,Cuartil 2,2
MIDES,2020.2,54,2020,2,14,Cuartil 3,3
MIDES,2020.3,48,2020,3,15,Cuartil 2,2
MIDES,2020.4,177,2020,4,16,Cuartil 4,4
MIEM,2020.1,11,2020,1,13,Cuartil 1,1
MIEM,2020.2,7,2020,2,14,Cuartil 1,1
MIEM,2020.3,11,2020,3,15,Cuartil 1,1
MIEM,2020.4,18,2020,4,16,Cuartil 2,2
MRREE,2020.1,16,2020,1,13,Cuartil 2,2
MRREE,2020.2,9,2020,2,14,Cuartil 1,1
MRREE,2020.3,6,2020,3,15,Cuartil 1,1
MRREE,2020.4,6,2020,4,16,Cuartil 1,1
MSP,2020.1,242,2020,1,13,Cuartil 4,4
MSP,2020.2,435,2020,2,14,Cuartil 4,4
MSP,2020.3,226,2020,3,15,Cuartil 4,4
MSP,2020.4,307,2020,4,16,Cuartil 4,4
MT,2020.1,111,2020,1,13,Cuartil 3,3
MT,2020.2,3,2020,2,14,Cuartil 1,1
MT,2020.3,2,2020,3,15,Cuartil 1,1
MT,2020.4,8,2020,4,16,Cuartil 1,1
MTOP,2020.1,107,2020,1,13,Cuartil 3,3
MTOP,2020.2,82,2020,2,14,Cuartil 3,3
MTOP,2020.3,53,2020,3,15,Cuartil 3,3
MTOP,2020.4,8866,2020,4,16,Cuartil 4,4
MTSS,2020.1,23,2020,1,13,Cuartil 2,2
MTSS,2020.2,3,2020,2,14,Cuartil 1,1
MTSS,2020.3,4,2020,3,15,Cuartil 1,1
MTSS,2020.4,1,2020,4,16,Cuartil 1,1
MVOTMA,2020.1,198,2020,1,13,Cuartil 4,4
MVOTMA,2020.2,3,2020,2,14,Cuartil 1,1
MVOTMA,2020.3,5,2020,3,15,Cuartil 1,1
MVOTMA,2020.4,2,2020,4,16,Cuartil 1,1
Presidencia,2020.1,74,2020,1,13,Cuartil 3,3
Presidencia,2020.2,25,2020,2,14,Cuartil 2,2
Presidencia,2020.3,22,2020,3,15,Cuartil 2,2
Presidencia,2020.4,42,2020,4,16,Cuartil 2,2
MA,2021.1,3,2021,1,17,Cuartil 1,1
MA,2021.2,3,2021,2,18,Cuartil 1,1
MA,2021.3,6,2021,3,19,Cuartil 1,1
MA,2021.4,9,2021,4,20,Cuartil 2,2
MDN,2021.1,154,2021,1,17,Cuartil 3,3
MDN,2021.2,206,2021,2,18,Cuartil 3,3
MDN,2021.3,215,2021,3,19,Cuartil 3,3
MDN,2021.4,317,2021,4,20,Cuartil 4,4
MEC,2021.1,34,2021,1,17,Cuartil 2,2
MEC,2021.2,20,2021,2,18,Cuartil 2,2
MEC,2021.3,63,2021,3,19,Cuartil 3,3
MEC,2021.4,51,2021,4,20,Cuartil 3,3
MEF,2021.1,1133,2021,1,17,Cuartil 4,4
MEF,2021.2,237,2021,2,18,Cuartil 4,4
MEF,2021.3,268,2021,3,19,Cuartil 4,4
MEF,2021.4,644,2021,4,20,Cuartil 4,4
MGAP,2021.1,28,2021,1,17,Cuartil 2,2
MGAP,2021.2,37,2021,2,18,Cuartil 3,3
