anio,iditem,monto_estandar,cantidad_estandar,unidad_estandar
2018,157,254,4,KILOGRAMOS
2018,157,119,2,KILOGRAMOS
2018,157,113,552,KILOGRAMOS
2018,157,225,2,KILOGRAMOS
2019,157,155,48,KILOGRAMOS
2018,157,160,50,KILOGRAMOS
2018,157,180,10,KILOGRAMOS
2018,157,245,5,KILOGRAMOS
2019,157,107,80,KILOGRAMOS
2018,157,141,1,KILOGRAMOS
2018,157,224,2,KILOGRAMOS
2019,157,103,100,KILOGRAMOS
2018,157,134,100,KILOGRAMOS
2018,157,202,10,KILOGRAMOS
2019,157,105,132,KILOGRAMOS
2018,157,190,4,KILOGRAMOS
2018,157,189,50,KILOGRAMOS
2018,157,204,26,KILOGRAMOS
2018,157,144,4,KILOGRAMOS
2018,157,290,3,KILOGRAMOS
2018,157,113,552,KILOGRAMOS
2018,157,107,525,KILOGRAMOS
2018,157,290,10,KILOGRAMOS
2018,157,225,2,KILOGRAMOS
2019,157,184,40,KILOGRAMOS
2019,157,109,30,KILOGRAMOS
2019,157,185,60,KILOGRAMOS
2019,157,115,100,KILOGRAMOS
2019,157,180,100,KILOGRAMOS
2019,157,136,50,KILOGRAMOS
2019,157,88,20,KILOGRAMOS
2019,157,110,20,KILOGRAMOS
2019,157,116,10,KILOGRAMOS
2019,157,109,100,KILOGRAMOS
2019,157,230,6,KILOGRAMOS
2019,157,182,30,KILOGRAMOS
2019,157,195,10,KILOGRAMOS
2019,157,183,60,KILOGRAMOS
2019,157,162,220,KILOGRAMOS
2019,157,183,10,KILOGRAMOS
2019,157,211,1,KILOGRAMOS
2019,157,132,25,KILOGRAMOS
2019,157,127,4,KILOGRAMOS
2019,157,244,36,KILOGRAMOS
2019,157,137,3,KILOGRAMOS
2019,157,160,20,KILOGRAMOS
2019,157,238,1,KILOGRAMOS
2019,157,144,1,KILOGRAMOS
2019,157,143,6,KILOGRAMOS
2019,157,210,3,KILOGRAMOS
2019,157,93,300,KILOGRAMOS
2019,157,175,300,KILOGRAMOS
2019,157,194,10,KILOGRAMOS
2019,157,264,6,KILOGRAMOS
2019,157,195,1,KILOGRAMOS
2019,157,126,1,KILOGRAMOS
2019,157,210,6,KILOGRAMOS
2019,157,209,2,KILOGRAMOS
2019,157,194,20,KILOGRAMOS
2019,157,221,20,KILOGRAMOS
2019,157,182,40,KILOGRAMOS
2019,157,200,10,KILOGRAMOS
2019,157,194,10,KILOGRAMOS
2019,157,112,2,KILOGRAMOS
2019,157,105,140,KILOGRAMOS
2019,157,92,10,KILOGRAMOS
2019,157,143,1,KILOGRAMOS
2019,157,246,25,KILOGRAMOS
2019,157,158,37.5,KILOGRAMOS
2019,157,209,4,KILOGRAMOS
2019,157,187,10,KILOGRAMOS
2019,157,211,2,KILOGRAMOS
2019,157,151,10,KILOGRAMOS
2019,157,186,25,KILOGRAMOS
2019,157,219,1,KILOGRAMOS
2019,157,105,10,KILOGRAMOS
2019,157,181,60,KILOGRAMOS
2019,157,193,100,KILOGRAMOS
2019,157,213,3,KILOGRAMOS
2019,157,231,3,KILOGRAMOS
2019,157,229,7,KILOGRAMOS
2019,157,218,2,KILOGRAMOS
2019,157,192,20,KILOGRAMOS
2019,157,186,10,KILOGRAMOS
2019,157,220,10,KILOGRAMOS
2019,157,200,3,KILOGRAMOS
2019,157,109,12,KILOGRAMOS
2019,157,203,10,KILOGRAMOS
2019,157,183,25,KILOGRAMOS
2019,157,216,2,KILOGRAMOS
2019,157,171,300,KILOGRAMOS
2019,157,178,10,KILOGRAMOS
2019,157,182,44,KILOGRAMOS
2019,157,201,100,KILOGRAMOS
2019,157,178,60,KILOGRAMOS
2019,157,225,20,KILOGRAMOS
2019,157,173,40,KILOGRAMOS
2019,157,197,20,KILOGRAMOS
2019,157,184,10,KILOGRAMOS
2019,157,178,6,KILOGRAMOS
2019,157,214,2,KILOGRAMOS
2019,157,214,2,KILOGRAMOS
2019,157,112,10,KILOGRAMOS
2019,157,177,60,KILOGRAMOS
2019,157,201,20,KILOGRAMOS
2019,157,187,0.40000001,KILOGRAMOS
2019,157,203,15,KILOGRAMOS
2019,157,203,4,KILOGRAMOS
2019,157,182,10,KILOGRAMOS
2019,157,179,6,KILOGRAMOS
2019,157,213,1,KILOGRAMOS
2019,157,159,21,KILOGRAMOS
2019,157,84,84,KILOGRAMOS
2019,157,93,96,KILOGRAMOS
2019,157,188,1,KILOGRAMOS
2019,157,176,15,KILOGRAMOS
2019,157,103,5,KILOGRAMOS
2019,157,131,10,KILOGRAMOS
2019,157,192,4,KILOGRAMOS
2019,157,211,1,KILOGRAMOS
2019,157,198,10,KILOGRAMOS
2019,157,117,6,KILOGRAMOS
2019,157,191,20,KILOGRAMOS
2019,157,205,0.40000001,KILOGRAMOS
2019,157,198,100,KILOGRAMOS
2019,157,210,25,KILOGRAMOS
2019,157,234,4,KILOGRAMOS
2019,157,201,6,KILOGRAMOS
2019,157,100,80,KILOGRAMOS
2019,157,101,5,KILOGRAMOS
2019,157,238,3,KILOGRAMOS
2019,157,210,3,KILOGRAMOS
2020,157,95,100,KILOGRAMOS
2020,157,118,60,KILOGRAMOS
2020,157,98,165,KILOGRAMOS
2019,157,110,3,KILOGRAMOS
