anio,iditem,monto_estandar,cantidad_estandar,unidad_estandar
2017,1828,10222,1,UNIDADES
2017,1828,10336,1,UNIDADES
2017,1828,8174,3,UNIDADES
2017,1828,28302,1,UNIDADES
2017,1828,8186,5,UNIDADES
2017,1828,11449,2,UNIDADES
2017,1828,11449,2,UNIDADES
2017,1828,8270,40,UNIDADES
2017,1828,13032,4,UNIDADES
2017,1828,8004,90,UNIDADES
2017,1828,21540,2,UNIDADES
2017,1828,15774,10,UNIDADES
2017,1828,18133,8,UNIDADES
2017,1828,9746,40,UNIDADES
2017,1828,12054,60,UNIDADES
2017,1828,27256,1,UNIDADES
2017,1828,20001,9,UNIDADES
2017,1828,17947,10,UNIDADES
2017,1828,34241,2,UNIDADES
2017,1828,30096,1,UNIDADES
2017,1828,13002,3,UNIDADES
2017,1828,19504,3,UNIDADES
2017,1828,23634,1,UNIDADES
2017,1828,10877,1,UNIDADES
2017,1828,22690,1,UNIDADES
2017,1828,6148,1,UNIDADES
2017,1828,12341,3,UNIDADES
2017,1828,14749,1,UNIDADES
2017,1828,10798,80,UNIDADES
2017,1828,13812,7,UNIDADES
2017,1828,14030,1,UNIDADES
2017,1828,27760,1,UNIDADES
2017,1828,33668,4,UNIDADES
2017,1828,21182,1,UNIDADES
2017,1828,12590,1,UNIDADES
2017,1828,10788,1,UNIDADES
2017,1828,7762,1,UNIDADES
2017,1828,25510,5,UNIDADES
2017,1828,26095,34,UNIDADES
2017,1828,13390,3,UNIDADES
2017,1828,13372,1,UNIDADES
2017,1828,17704,1,UNIDADES
2017,1828,13372,1,UNIDADES
2017,1828,8428,3,UNIDADES
2017,1828,21052,1,UNIDADES
2017,1828,6053,1,UNIDADES
2017,1828,4165,1,UNIDADES
2017,1828,7105,1,UNIDADES
2017,1828,5415,1,UNIDADES
2017,1828,15928,1,UNIDADES
2017,1828,16045,1,UNIDADES
2017,1828,12968,4,UNIDADES
2017,1828,17575,20,UNIDADES
2017,1828,37568,1,UNIDADES
2017,1828,20169,28,UNIDADES
2017,1828,35191,2,UNIDADES
2017,1828,13386,12,UNIDADES
2017,1828,10590,5,UNIDADES
2018,1828,14925,5,UNIDADES
2017,1828,15592,1,UNIDADES
2017,1828,22628,9,UNIDADES
2017,1828,9871,115,UNIDADES
2017,1828,22155,6,UNIDADES
2017,1828,7919,2,UNIDADES
2017,1828,8057,2,UNIDADES
2017,1828,13112,1,UNIDADES
2017,1828,8678,2,UNIDADES
2017,1828,8420,5,UNIDADES
2017,1828,12178,48,UNIDADES
2017,1828,19582,4,UNIDADES
2017,1828,24805,4,UNIDADES
2017,1828,15813,4,UNIDADES
2017,1828,13535,1,UNIDADES
2017,1828,24336,10,UNIDADES
2018,1828,16932,40,UNIDADES
2017,1828,10046,60,UNIDADES
2017,1828,7904,1,UNIDADES
2017,1828,10738,1,UNIDADES
2017,1828,14756,1,UNIDADES
2017,1828,15919,2,UNIDADES
2018,1828,15015,2,UNIDADES
2018,1828,18427,2,UNIDADES
2018,1828,27434,1,UNIDADES
2018,1828,10798,1,UNIDADES
2018,1828,13206,14,UNIDADES
2018,1828,14273,4,UNIDADES
2018,1828,18056,2,UNIDADES
2018,1828,18961,5,UNIDADES
2017,1828,16493,1,UNIDADES
2017,1828,3928,31,UNIDADES
2017,1828,10187,3,UNIDADES
2017,1828,7550,1,UNIDADES
2017,1828,11316,1,UNIDADES
2017,1828,7653,4,UNIDADES
2017,1828,10240,1,UNIDADES
2017,1828,10563,1,UNIDADES
2017,1828,13916,1,UNIDADES
2017,1828,25071,1,UNIDADES
2017,1828,4905,22,UNIDADES
2017,1828,18714,1,UNIDADES
2017,1828,8490,5,UNIDADES
2017,1828,11811,1,UNIDADES
2017,1828,16127,1,UNIDADES
2017,1828,38077,3,UNIDADES
2017,1828,7700,25,UNIDADES
2017,1828,24031,1,UNIDADES
2017,1828,12172,10,UNIDADES
2017,1828,15618,21,UNIDADES
2017,1828,14250,1,UNIDADES
2017,1828,10455,3,UNIDADES
2017,1828,12590,44,UNIDADES
2017,1828,22776,1,UNIDADES
2017,1828,15279,6,UNIDADES
2017,1828,5707,33,UNIDADES
2017,1828,13212,4,UNIDADES
2017,1828,30703,10,UNIDADES
2017,1828,18490,24,UNIDADES
2017,1828,32671,1,UNIDADES
2017,1828,17355,1,UNIDADES
2017,1828,21964,6,UNIDADES
2017,1828,15820,1,UNIDADES
2017,1828,28288,4,UNIDADES
2017,1828,9119,5,UNIDADES
2017,1828,12055,2,UNIDADES
2017,1828,19168,2,UNIDADES
2017,1828,17643,1,UNIDADES
2017,1828,8227,20,UNIDADES
2017,1828,8488,11,UNIDADES
2017,1828,15099,1,UNIDADES
2017,1828,28636,1,UNIDADES
2017,1828,14311,2,UNIDADES
2017,1828,19611,3,UNIDADES
2017,1828,33316,1,UNIDADES
2017,1828,11863,8,UNIDADES
2017,1828,17023,1,UNIDADES
2017,1828,14231,2,UNIDADES
2017,1828,17066,1,UNIDADES
2017,1828,31556,2,UNIDADES
2017,1828,21603,32,UNIDADES
2017,1828,14564,6,UNIDADES
2018,1828,20864,2,UNIDADES
2018,1828,28555,1,UNIDADES
2018,1828,9595,1,UNIDADES
2018,1828,24550,1,UNIDADES
2018,1828,6348,1,UNIDADES
2018,1828,25091,1,UNIDADES
2018,1828,26460,1,UNIDADES
2018,1828,15748,8,UNIDADES
2018,1828,10709,70,UNIDADES
2018,1828,13307,4,UNIDADES
2018,1828,20495,1,UNIDADES
2018,1828,5143,1,UNIDADES
2018,1828,15748,2,UNIDADES
2018,1828,14289,4,UNIDADES
2018,1828,10383,15,UNIDADES
2018,1828,37864,15,UNIDADES
2018,1828,23274,1,UNIDADES
2018,1828,17478,1,UNIDADES
2018,1828,22287,1,UNIDADES
2018,1828,18152,1,UNIDADES
2018,1828,11004,3,UNIDADES
2018,1828,21956,1,UNIDADES
2018,1828,27672,1,UNIDADES
2018,1828,16028,15,UNIDADES
2018,1828,13338,21,UNIDADES
2018,1828,19177,4,UNIDADES
2018,1828,12274,2,UNIDADES
2018,1828,12230,9,UNIDADES
2018,1828,7017,2,UNIDADES
2018,1828,27770,1,UNIDADES
2018,1828,20749,1,UNIDADES
2018,1828,29485,4,UNIDADES
2018,1828,14446,10,UNIDADES
2018,1828,8915,1,UNIDADES
2018,1828,21863,1,UNIDADES
2018,1828,36183,1,UNIDADES
2019,1828,17576,1,UNIDADES
2018,1828,5142,1,UNIDADES
2018,1828,15679,3,UNIDADES
2018,1828,19376,2,UNIDADES
2018,1828,11587,1,UNIDADES
2018,1828,10683,1,UNIDADES
2018,1828,10069,1,UNIDADES
2018,1828,13159,1,UNIDADES
2018,1828,20518,2,UNIDADES
2018,1828,12444,12,UNIDADES
2018,1828,22510,3,UNIDADES
2018,1828,20940,1,UNIDADES
2019,1828,16352,15,UNIDADES
2018,1828,30680,1,UNIDADES
2018,1828,5307,1,UNIDADES
2018,1828,12744,4,UNIDADES
2018,1828,12645,2,UNIDADES
2018,1828,19148,1,UNIDADES
2018,1828,10616,1,UNIDADES
2018,1828,15920,15,UNIDADES
2019,1828,14433,1,UNIDADES
2018,1828,19393,1,UNIDADES
2018,1828,30464,1,UNIDADES
2018,1828,17818,1,UNIDADES
2018,1828,26734,1,UNIDADES
2018,1828,17797,1,UNIDADES
2018,1828,19393,1,UNIDADES
2018,1828,8706,4,UNIDADES
2018,1828,18478,1,UNIDADES
2018,1828,25864,20,UNIDADES
2018,1828,14877,1,UNIDADES
2018,1828,12681,1,UNIDADES
2018,1828,12681,1,UNIDADES
2019,1828,18714,3,UNIDADES
2019,1828,16497,3,UNIDADES
2018,1828,15988,7,UNIDADES
2018,1828,19385,1,UNIDADES
2018,1828,8204,1,UNIDADES
2018,1828,10597,1,UNIDADES
2018,1828,10487,3,UNIDADES
2018,1828,15705,1,UNIDADES
2018,1828,8036,23,UNIDADES
2019,1828,12457,150,UNIDADES
2018,1828,14401,1,UNIDADES
2018,1828,21777,1,UNIDADES
2018,1828,16756,3,UNIDADES
2018,1828,16756,2,UNIDADES
2018,1828,9225,2,UNIDADES
2019,1828,23931,1,UNIDADES
2019,1828,17685,1,UNIDADES
2019,1828,25491,1,UNIDADES
2019,1828,18007,2,UNIDADES
2018,1828,5226,1,UNIDADES
2018,1828,19765,8,UNIDADES
2018,1828,34006,2,UNIDADES
2018,1828,10319,5,UNIDADES
2018,1828,15643,1,UNIDADES
2018,1828,12508,2,UNIDADES
2019,1828,33989,1,UNIDADES
2018,1828,23302,10,UNIDADES
2018,1828,16343,6,UNIDADES
2018,1828,12860,3,UNIDADES
2018,1828,4537,3,UNIDADES
2018,1828,20017,3,UNIDADES
2018,1828,11299,1,UNIDADES
2018,1828,19826,1,UNIDADES
2018,1828,6347,2,UNIDADES
2019,1828,14439,8,UNIDADES
2018,1828,11316,2,UNIDADES
2018,1828,9524,1,UNIDADES
2018,1828,9871,2,UNIDADES
2018,1828,24750,5,UNIDADES
2018,1828,18831,2,UNIDADES
2018,1828,18619,1,UNIDADES
2018,1828,12498,2,UNIDADES
2018,1828,15029,20,UNIDADES
2018,1828,12161,1,UNIDADES
2019,1828,36016,4,UNIDADES
2018,1828,5176,10,UNIDADES
2019,1828,19597,3,UNIDADES
2018,1828,14010,10,UNIDADES
2018,1828,23336,2,UNIDADES
2018,1828,9414,1,UNIDADES
2018,1828,19513,1,UNIDADES
2018,1828,25739,1,UNIDADES
2018,1828,17683,10,UNIDADES
2018,1828,17656,1,UNIDADES
2018,1828,6670,3,UNIDADES
2018,1828,23521,2,UNIDADES
2019,1828,17745,4,UNIDADES
2019,1828,12105,1,UNIDADES
2019,1828,26635,2,UNIDADES
2018,1828,13664,1,UNIDADES
2018,1828,14235,4,UNIDADES
2018,1828,17503,1,UNIDADES
2018,1828,17228,4,UNIDADES
2018,1828,22613,1,UNIDADES
2018,1828,23302,10,UNIDADES
2019,1828,18714,2,UNIDADES
2019,1828,16497,3,UNIDADES
2019,1828,17599,1,UNIDADES
2019,1828,17863,1,UNIDADES
2019,1828,12105,1,UNIDADES
2019,1828,26635,2,UNIDADES
2019,1828,19597,3,UNIDADES
2019,1828,10023,1,UNIDADES
2019,1828,14307,12,UNIDADES
2019,1828,25019,2,UNIDADES
2019,1828,12465,10,UNIDADES
2019,1828,31111,3,UNIDADES
2019,1828,15099,4,UNIDADES
2019,1828,33369,1,UNIDADES
2019,1828,12475,3,UNIDADES
2019,1828,14970,5,UNIDADES
2019,1828,16056,1,UNIDADES
2019,1828,18899,1,UNIDADES
2019,1828,19628,2,UNIDADES
2019,1828,17142,6,UNIDADES
2019,1828,20031,2,UNIDADES
2019,1828,29322,1,UNIDADES
2019,1828,10973,1,UNIDADES
2019,1828,37011,1,UNIDADES
2019,1828,14762,20,UNIDADES
2019,1828,33369,1,UNIDADES
2019,1828,20213,1,UNIDADES
2019,1828,13597,1,UNIDADES
2019,1828,11056,2,UNIDADES
2019,1828,13597,3,UNIDADES
2019,1828,15106,1,UNIDADES
