anio,iditem,monto_estandar,cantidad_estandar,unidad_estandar
2017,4475,18,9000,LITROS
2017,4475,6,20,LITROS
2017,4475,15,162,LITROS
2017,4475,6,4800,LITROS
2017,4475,20,1020,LITROS
2017,4475,20,1560,LITROS
2017,4475,6,160,LITROS
2017,4475,100,60,LITROS
2017,4475,6,402,LITROS
2017,4475,9,94.5,LITROS
2017,4475,84,240,LITROS
2017,4475,6,402,LITROS
2017,4475,45,240,LITROS
2017,4475,6,220,LITROS
2017,4475,6,900,LITROS
2017,4475,7,272400,LITROS
2017,4475,4,42000,LITROS
2017,4475,140,1200,LITROS
2017,4475,8,1300,LITROS
2017,4475,8,460,LITROS
2017,4475,6,240,LITROS
2017,4475,6,30000,LITROS
2017,4475,17,240,LITROS
2017,4475,6,402,LITROS
2017,4475,5,16000,LITROS
2017,4475,5,26000,LITROS
2017,4475,6,180,LITROS
2017,4475,131,48,LITROS
2017,4475,6,240,LITROS
2017,4475,6,402,LITROS
2017,4475,7,50,LITROS
2017,4475,11,4800,LITROS
2017,4475,22,180,LITROS
2017,4475,6,1920,LITROS
2017,4475,22,120,LITROS
2017,4475,5,7200,LITROS
2017,4475,5,7200,LITROS
2017,4475,6,402,LITROS
2017,4475,6,260,LITROS
2017,4475,9,54,LITROS
2017,4475,109,88,LITROS
2017,4475,30,240,LITROS
2017,4475,6,680,LITROS
2017,4475,6,402,LITROS
2017,4475,8,46,LITROS
2017,4475,6,5000,LITROS
2017,4475,6,480,LITROS
2017,4475,5,8000,LITROS
2017,4475,8,56.25,LITROS
2017,4475,9,270,LITROS
2017,4475,140,1056,LITROS
2017,4475,7,4,LITROS
2017,4475,14,6.75,LITROS
2017,4475,6,1200,LITROS
2017,4475,11,13.5,LITROS
2017,4475,39,480,LITROS
2017,4475,8,54,LITROS
2017,4475,6,3000,LITROS
2017,4475,6,60,LITROS
2017,4475,6,100,LITROS
2017,4475,6,580,LITROS
2017,4475,6,960,LITROS
2017,4475,9,40.5,LITROS
2017,4475,9,13.5,LITROS
2017,4475,6,80,LITROS
2017,4475,6,360,LITROS
