organismo_codigo,monto_total,organismo_nombre,organismo_sigla,categoria
22,392,Universidad de la República,UdelaR,Entes autónomos
16,429,Diversos Créditos,Div.Créd.,Otros
2,491,Ministerio de Economía y Finanzas,MEF,Administración Central
13,558,Instituto del Niño y el Adolescente del Uruguay,INAU,Servicios descentralizados
24,667,Banco de la República del Uruguay,BROU,Entes autónomos
17,754,Ministerio de Salud Pública,MSP,Administración Central
10,1002,Ministerio de Defensa Nacional,MDN,Administración Central
23,1066,Administración Nacional de Educación Pública,ANEP,Entes autónomos
48,1084,Intendencia de Canelones,I. Canelones,Gobiernos Departamentales
3,1273,Ministerio del Interior,MI,Administración Central
28,1296,Intendencia de Montevideo,I. Montevideo,Gobiernos Departamentales
18,2142,Administración de Servicios de Salud del Estado,ASSE,Servicios descentralizados
32,2215,Administración de las Obras Sanitarias del Estado,OSE,Servicios descentralizados
66,2612,Administración Nacional de Puertos,ANP,Servicios descentralizados
56,5387,Administración Nacional de Usinas y Trasmisiones Eléctricas,UTE,Entes autónomos
