articulo,Total
Servicio de recepcion y admision de usuarios,1182
Limpieza integral de locales,587.7
"Dieta, racion, comida preparada",533.2
Servicio de vigilancia,489.2
Comision por emision de ticket,380.1
Servicio de consultoria,361.1
Contratacion de mano de obra,353.3
Arrendamiento de camara de video para circuito cerrado de tv (cctv),279.1
Contratacion de servicios profesionales,261.5
Servicio de montaje y operacion de centro de gestion,239.6
