organismo_sigla,trimestre,monto_total,anio,tri,Trimestre,monto_cuartil,cuartil
I. Tacuarembó,2018.1,32,2018,1,5,Cuartil 3,3
I. Tacuarembó,2018.2,35,2018,2,6,Cuartil 3,3
I. Tacuarembó,2018.3,5,2018,3,7,Cuartil 1,1
I. Tacuarembó,2018.4,13,2018,4,8,Cuartil 2,2
I. Treinta y Tres,2018.1,1,2018,1,5,Cuartil 1,1
I. Treinta y Tres,2018.2,7,2018,2,6,Cuartil 2,2
I. Treinta y Tres,2018.3,0,2018,3,7,Cuartil 1,1
I. Treinta y Tres,2018.4,6,2018,4,8,Cuartil 1,1
I. Artigas,2019.1,15,2019,1,9,Cuartil 2,2
I. Artigas,2019.2,18,2019,2,10,Cuartil 2,2
I. Artigas,2019.3,13,2019,3,11,Cuartil 2,2
I. Artigas,2019.4,59,2019,4,12,Cuartil 3,3
I. Canelones,2019.1,74,2019,1,9,Cuartil 4,4
I. Canelones,2019.2,36,2019,2,10,Cuartil 3,3
I. Canelones,2019.3,202,2019,3,11,Cuartil 4,4
I. Canelones,2019.4,78,2019,4,12,Cuartil 4,4
I. Cerro Largo,2019.2,0,2019,2,10,Cuartil 1,1
I. Cerro Largo,2019.3,0,2019,3,11,Cuartil 1,1
I. Cerro Largo,2019.4,0,2019,4,12,Cuartil 1,1
I. Colonia,2019.1,51,2019,1,9,Cuartil 3,3
I. Colonia,2019.2,48,2019,2,10,Cuartil 3,3
I. Colonia,2019.3,184,2019,3,11,Cuartil 4,4
I. Colonia,2019.4,90,2019,4,12,Cuartil 4,4
I. Flores,2019.1,1,2019,1,9,Cuartil 1,1
I. Flores,2019.2,5,2019,2,10,Cuartil 1,1
I. Flores,2019.3,5,2019,3,11,Cuartil 1,1
I. Flores,2019.4,1,2019,4,12,Cuartil 1,1
I. Florida,2019.1,5,2019,1,9,Cuartil 1,1
I. Florida,2019.3,18,2019,3,11,Cuartil 2,2
I. Lavalleja,2019.2,0,2019,2,10,Cuartil 1,1
I. Maldonado,2019.1,0,2019,1,9,Cuartil 1,1
I. Maldonado,2019.2,0,2019,2,10,Cuartil 1,1
I. Montevideo,2019.1,762,2019,1,9,Cuartil 4,4
I. Montevideo,2019.2,76231,2019,2,10,Cuartil 4,4
I. Montevideo,2019.3,652,2019,3,11,Cuartil 4,4
I. Montevideo,2019.4,843,2019,4,12,Cuartil 4,4
I. Paysandú,2019.1,15,2019,1,9,Cuartil 2,2
I. Paysandú,2019.2,47,2019,2,10,Cuartil 3,3
I. Paysandú,2019.3,28,2019,3,11,Cuartil 3,3
I. Paysandú,2019.4,30,2019,4,12,Cuartil 3,3
I. Rivera,2019.1,20,2019,1,9,Cuartil 2,2
I. Rivera,2019.2,14,2019,2,10,Cuartil 2,2
I. Rivera,2019.3,1119,2019,3,11,Cuartil 4,4
I. Rivera,2019.4,28,2019,4,12,Cuartil 3,3
I. Río Negro,2019.1,16,2019,1,9,Cuartil 2,2
I. Río Negro,2019.2,25,2019,2,10,Cuartil 2,2
I. Río Negro,2019.3,31,2019,3,11,Cuartil 3,3
I. Río Negro,2019.4,3,2019,4,12,Cuartil 1,1
I. Salto,2019.1,8,2019,1,9,Cuartil 2,2
I. Salto,2019.2,27,2019,2,10,Cuartil 2,2
I. Salto,2019.3,499,2019,3,11,Cuartil 4,4
I. Salto,2019.4,80,2019,4,12,Cuartil 4,4
I. San José,2019.1,36,2019,1,9,Cuartil 3,3
I. San José,2019.2,44,2019,2,10,Cuartil 3,3
I. San José,2019.3,11,2019,3,11,Cuartil 2,2
I. San José,2019.4,47,2019,4,12,Cuartil 3,3
I. Tacuarembó,2019.1,41,2019,1,9,Cuartil 3,3
I. Tacuarembó,2019.2,49,2019,2,10,Cuartil 3,3
I. Tacuarembó,2019.3,126,2019,3,11,Cuartil 4,4
I. Tacuarembó,2019.4,83,2019,4,12,Cuartil 4,4
I. Treinta y Tres,2019.1,6,2019,1,9,Cuartil 2,2
I. Treinta y Tres,2019.2,1,2019,2,10,Cuartil 1,1
I. Treinta y Tres,2019.3,1,2019,3,11,Cuartil 1,1
I. Treinta y Tres,2019.4,4,2019,4,12,Cuartil 1,1
I. Artigas,2020.1,23,2020,1,13,Cuartil 3,3
I. Artigas,2020.2,5,2020,2,14,Cuartil 2,2
I. Artigas,2020.3,14,2020,3,15,Cuartil 2,2
I. Artigas,2020.4,4,2020,4,16,Cuartil 1,1
I. Canelones,2020.1,38,2020,1,13,Cuartil 3,3
I. Canelones,2020.2,59,2020,2,14,Cuartil 4,4
I. Canelones,2020.3,139,2020,3,15,Cuartil 4,4
I. Canelones,2020.4,116,2020,4,16,Cuartil 4,4
I. Cerro Largo,2020.1,0,2020,1,13,Cuartil 1,1
I. Cerro Largo,2020.2,0,2020,2,14,Cuartil 1,1
I. Cerro Largo,2020.3,0,2020,3,15,Cuartil 1,1
I. Colonia,2020.1,54,2020,1,13,Cuartil 3,3
I. Colonia,2020.2,24,2020,2,14,Cuartil 3,3
I. Colonia,2020.3,24,2020,3,15,Cuartil 3,3
I. Colonia,2020.4,27,2020,4,16,Cuartil 3,3
I. Flores,2020.1,2,2020,1,13,Cuartil 1,1
I. Flores,2020.2,0,2020,2,14,Cuartil 1,1
I. Flores,2020.3,16,2020,3,15,Cuartil 2,2
I. Flores,2020.4,6,2020,4,16,Cuartil 2,2
I. Florida,2020.1,0,2020,1,13,Cuartil 1,1
I. Florida,2020.2,15,2020,2,14,Cuartil 2,2
I. Florida,2020.3,67,2020,3,15,Cuartil 4,4
I. Florida,2020.4,4,2020,4,16,Cuartil 1,1
I. Lavalleja,2020.4,0,2020,4,16,Cuartil 1,1
I. Montevideo,2020.1,544,2020,1,13,Cuartil 4,4
I. Montevideo,2020.2,636,2020,2,14,Cuartil 4,4
I. Montevideo,2020.3,348,2020,3,15,Cuartil 4,4
I. Montevideo,2020.4,383,2020,4,16,Cuartil 4,4
I. Paysandú,2020.1,4,2020,1,13,Cuartil 1,1
I. Paysandú,2020.2,16,2020,2,14,Cuartil 2,2
I. Paysandú,2020.3,36,2020,3,15,Cuartil 3,3
I. Paysandú,2020.4,3,2020,4,16,Cuartil 1,1
I. Rivera,2020.1,90,2020,1,13,Cuartil 4,4
I. Rivera,2020.3,16,2020,3,15,Cuartil 2,2
I. Rivera,2020.4,16,2020,4,16,Cuartil 2,2
I. Río Negro,2020.1,4,2020,1,13,Cuartil 1,1
I. Río Negro,2020.2,0,2020,2,14,Cuartil 1,1
I. Salto,2020.1,52,2020,1,13,Cuartil 3,3
I. Salto,2020.2,83,2020,2,14,Cuartil 4,4
I. Salto,2020.3,26,2020,3,15,Cuartil 3,3
I. Salto,2020.4,15,2020,4,16,Cuartil 2,2
I. San José,2020.1,28,2020,1,13,Cuartil 3,3
I. San José,2020.2,1,2020,2,14,Cuartil 1,1
I. San José,2020.3,138,2020,3,15,Cuartil 4,4
I. San José,2020.4,29,2020,4,16,Cuartil 3,3
I. Tacuarembó,2020.1,120,2020,1,13,Cuartil 4,4
I. Tacuarembó,2020.2,41,2020,2,14,Cuartil 3,3
I. Tacuarembó,2020.3,62,2020,3,15,Cuartil 4,4
I. Tacuarembó,2020.4,8,2020,4,16,Cuartil 2,2
I. Treinta y Tres,2020.1,1,2020,1,13,Cuartil 1,1
I. Treinta y Tres,2020.3,0,2020,3,15,Cuartil 1,1
I. Treinta y Tres,2020.4,4,2020,4,16,Cuartil 1,1
I. Artigas,2021.1,4,2021,1,17,Cuartil 1,1
I. Artigas,2021.2,21,2021,2,18,Cuartil 3,3
I. Artigas,2021.3,46,2021,3,19,Cuartil 3,3
I. Artigas,2021.4,3,2021,4,20,Cuartil 1,1
I. Canelones,2021.1,196,2021,1,17,Cuartil 4,4
I. Canelones,2021.2,85,2021,2,18,Cuartil 4,4
I. Canelones,2021.3,207,2021,3,19,Cuartil 4,4
I. Canelones,2021.4,227,2021,4,20,Cuartil 4,4
I. Cerro Largo,2021.3,0,2021,3,19,Cuartil 1,1
I. Cerro Largo,2021.4,1,2021,4,20,Cuartil 1,1
I. Colonia,2021.1,15,2021,1,17,Cuartil 3,3
I. Colonia,2021.2,20,2021,2,18,Cuartil 3,3
I. Colonia,2021.3,64,2021,3,19,Cuartil 4,4
I. Colonia,2021.4,34,2021,4,20,Cuartil 3,3
I. Durazno,2021.2,11,2021,2,18,Cuartil 2,2
I. Durazno,2021.3,14,2021,3,19,Cuartil 3,3
I. Durazno,2021.4,46,2021,4,20,Cuartil 3,3
I. Flores,2021.1,1,2021,1,17,Cuartil 1,1
I. Flores,2021.2,31,2021,2,18,Cuartil 3,3
I. Flores,2021.3,6,2021,3,19,Cuartil 2,2
I. Flores,2021.4,9,2021,4,20,Cuartil 2,2
I. Florida,2021.2,4,2021,2,18,Cuartil 1,1
I. Florida,2021.3,10,2021,3,19,Cuartil 2,2
I. Florida,2021.4,63,2021,4,20,Cuartil 4,4
I. Lavalleja,2021.3,0,2021,3,19,Cuartil 1,1
I. Maldonado,2021.2,0,2021,2,18,Cuartil 1,1
I. Maldonado,2021.3,1,2021,3,19,Cuartil 1,1
I. Maldonado,2021.4,35,2021,4,20,Cuartil 3,3
I. Montevideo,2021.1,452,2021,1,17,Cuartil 4,4
I. Montevideo,2021.2,271,2021,2,18,Cuartil 4,4
I. Montevideo,2021.3,608,2021,3,19,Cuartil 4,4
I. Montevideo,2021.4,829,2021,4,20,Cuartil 4,4
I. Paysandú,2021.1,8,2021,1,17,Cuartil 2,2
I. Paysandú,2021.3,1,2021,3,19,Cuartil 1,1
I. Paysandú,2021.4,6,2021,4,20,Cuartil 2,2
I. Rivera,2021.1,13,2021,1,17,Cuartil 2,2
I. Rivera,2021.4,747,2021,4,20,Cuartil 4,4
I. Río Negro,2021.1,0,2021,1,17,Cuartil 1,1
I. Río Negro,2021.3,4,2021,3,19,Cuartil 1,1
I. Río Negro,2021.4,18,2021,4,20,Cuartil 3,3
I. Salto,2021.1,8,2021,1,17,Cuartil 2,2
I. Salto,2021.2,1,2021,2,18,Cuartil 1,1
I. Salto,2021.3,8,2021,3,19,Cuartil 2,2
I. Salto,2021.4,46,2021,4,20,Cuartil 3,3
I. San José,2021.1,73,2021,1,17,Cuartil 4,4
I. San José,2021.2,11,2021,2,18,Cuartil 2,2
I. San José,2021.3,21,2021,3,19,Cuartil 3,3
I. San José,2021.4,17,2021,4,20,Cuartil 3,3
I. Tacuarembó,2021.1,1,2021,1,17,Cuartil 1,1
I. Tacuarembó,2021.2,4,2021,2,18,Cuartil 1,1
I. Tacuarembó,2021.3,16,2021,3,19,Cuartil 3,3
I. Tacuarembó,2021.4,89,2021,4,20,Cuartil 4,4
I. Treinta y Tres,2021.1,0,2021,1,17,Cuartil 1,1
I. Treinta y Tres,2021.2,1,2021,2,18,Cuartil 1,1
I. Treinta y Tres,2021.3,16,2021,3,19,Cuartil 3,3
I. Treinta y Tres,2021.4,7,2021,4,20,Cuartil 2,2
