organismo_sigla,trimestre,monto_total,anio,tri,Trimestre,monto_cuartil,cuartil
I. Artigas,2017.1,17,2017,1,1,Cuartil 2,2
I. Artigas,2017.2,28,2017,2,2,Cuartil 3,3
I. Artigas,2017.3,29,2017,3,3,Cuartil 3,3
I. Artigas,2017.4,19,2017,4,4,Cuartil 2,2
I. Canelones,2017.1,42,2017,1,1,Cuartil 3,3
I. Canelones,2017.2,141,2017,2,2,Cuartil 4,4
I. Canelones,2017.3,667,2017,3,3,Cuartil 4,4
I. Canelones,2017.4,285,2017,4,4,Cuartil 4,4
I. Cerro Largo,2017.4,1,2017,4,4,Cuartil 1,1
I. Colonia,2017.1,76,2017,1,1,Cuartil 4,4
I. Colonia,2017.2,41,2017,2,2,Cuartil 3,3
I. Colonia,2017.3,21,2017,3,3,Cuartil 2,2
I. Colonia,2017.4,44,2017,4,4,Cuartil 3,3
I. Durazno,2017.2,2,2017,2,2,Cuartil 1,1
I. Durazno,2017.3,12,2017,3,3,Cuartil 2,2
I. Flores,2017.1,7,2017,1,1,Cuartil 1,1
I. Flores,2017.2,0,2017,2,2,Cuartil 1,1
I. Flores,2017.3,3,2017,3,3,Cuartil 1,1
I. Flores,2017.4,43,2017,4,4,Cuartil 3,3
I. Florida,2017.1,52,2017,1,1,Cuartil 3,3
I. Florida,2017.2,20,2017,2,2,Cuartil 2,2
I. Florida,2017.3,6,2017,3,3,Cuartil 1,1
I. Florida,2017.4,131,2017,4,4,Cuartil 4,4
I. Maldonado,2017.1,1,2017,1,1,Cuartil 1,1
I. Maldonado,2017.2,320,2017,2,2,Cuartil 4,4
I. Maldonado,2017.3,85,2017,3,3,Cuartil 4,4
I. Maldonado,2017.4,62,2017,4,4,Cuartil 4,4
I. Montevideo,2017.1,408,2017,1,1,Cuartil 4,4
I. Montevideo,2017.2,252,2017,2,2,Cuartil 4,4
I. Montevideo,2017.3,324,2017,3,3,Cuartil 4,4
I. Montevideo,2017.4,987,2017,4,4,Cuartil 4,4
I. Paysandú,2017.1,1,2017,1,1,Cuartil 1,1
I. Paysandú,2017.2,8,2017,2,2,Cuartil 2,2
I. Paysandú,2017.3,16,2017,3,3,Cuartil 2,2
I. Paysandú,2017.4,51,2017,4,4,Cuartil 3,3
I. Rivera,2017.1,18,2017,1,1,Cuartil 2,2
I. Rivera,2017.2,15,2017,2,2,Cuartil 2,2
I. Rivera,2017.3,13,2017,3,3,Cuartil 2,2
I. Rivera,2017.4,67,2017,4,4,Cuartil 4,4
I. Río Negro,2017.1,0,2017,1,1,Cuartil 1,1
I. Río Negro,2017.2,2,2017,2,2,Cuartil 1,1
I. Río Negro,2017.3,10,2017,3,3,Cuartil 2,2
I. Río Negro,2017.4,5,2017,4,4,Cuartil 1,1
I. Salto,2017.1,17,2017,1,1,Cuartil 2,2
I. Salto,2017.2,23,2017,2,2,Cuartil 3,3
I. Salto,2017.3,18,2017,3,3,Cuartil 2,2
I. Salto,2017.4,56,2017,4,4,Cuartil 3,3
I. San José,2017.1,57,2017,1,1,Cuartil 3,3
I. San José,2017.2,77,2017,2,2,Cuartil 4,4
I. San José,2017.3,24,2017,3,3,Cuartil 3,3
I. San José,2017.4,4,2017,4,4,Cuartil 1,1
I. Tacuarembó,2017.1,50,2017,1,1,Cuartil 3,3
I. Tacuarembó,2017.2,16,2017,2,2,Cuartil 2,2
I. Tacuarembó,2017.3,63,2017,3,3,Cuartil 4,4
I. Tacuarembó,2017.4,27,2017,4,4,Cuartil 3,3
I. Treinta y Tres,2017.1,6,2017,1,1,Cuartil 1,1
I. Treinta y Tres,2017.2,1,2017,2,2,Cuartil 1,1
I. Treinta y Tres,2017.3,0,2017,3,3,Cuartil 1,1
I. Treinta y Tres,2017.4,8,2017,4,4,Cuartil 2,2
I. Artigas,2018.1,28,2018,1,5,Cuartil 3,3
I. Artigas,2018.2,28,2018,2,6,Cuartil 3,3
I. Artigas,2018.3,6,2018,3,7,Cuartil 1,1
I. Artigas,2018.4,6,2018,4,8,Cuartil 1,1
I. Canelones,2018.1,126,2018,1,5,Cuartil 4,4
I. Canelones,2018.2,199,2018,2,6,Cuartil 4,4
I. Canelones,2018.3,1075,2018,3,7,Cuartil 4,4
I. Canelones,2018.4,83,2018,4,8,Cuartil 4,4
I. Cerro Largo,2018.2,1,2018,2,6,Cuartil 1,1
I. Cerro Largo,2018.3,0,2018,3,7,Cuartil 1,1
I. Colonia,2018.1,30,2018,1,5,Cuartil 3,3
I. Colonia,2018.2,34,2018,2,6,Cuartil 3,3
I. Colonia,2018.3,21,2018,3,7,Cuartil 2,2
I. Colonia,2018.4,31,2018,4,8,Cuartil 3,3
I. Durazno,2018.1,72,2018,1,5,Cuartil 4,4
I. Durazno,2018.2,4,2018,2,6,Cuartil 1,1
I. Flores,2018.1,11,2018,1,5,Cuartil 2,2
I. Flores,2018.3,1,2018,3,7,Cuartil 1,1
I. Flores,2018.4,3,2018,4,8,Cuartil 1,1
I. Florida,2018.1,75,2018,1,5,Cuartil 4,4
I. Florida,2018.2,9,2018,2,6,Cuartil 2,2
I. Florida,2018.3,38,2018,3,7,Cuartil 3,3
I. Florida,2018.4,24,2018,4,8,Cuartil 2,2
I. Maldonado,2018.1,4,2018,1,5,Cuartil 1,1
I. Maldonado,2018.4,173,2018,4,8,Cuartil 4,4
I. Montevideo,2018.1,437,2018,1,5,Cuartil 4,4
I. Montevideo,2018.2,347,2018,2,6,Cuartil 4,4
I. Montevideo,2018.3,577,2018,3,7,Cuartil 4,4
I. Montevideo,2018.4,752,2018,4,8,Cuartil 4,4
I. Paysandú,2018.1,2,2018,1,5,Cuartil 1,1
I. Paysandú,2018.2,39,2018,2,6,Cuartil 3,3
I. Paysandú,2018.3,81,2018,3,7,Cuartil 4,4
I. Paysandú,2018.4,39,2018,4,8,Cuartil 3,3
I. Rivera,2018.1,48,2018,1,5,Cuartil 3,3
I. Rivera,2018.2,0,2018,2,6,Cuartil 1,1
I. Rivera,2018.3,3,2018,3,7,Cuartil 1,1
I. Rivera,2018.4,7,2018,4,8,Cuartil 2,2
I. Río Negro,2018.1,3,2018,1,5,Cuartil 1,1
I. Río Negro,2018.2,3,2018,2,6,Cuartil 1,1
I. Río Negro,2018.3,31,2018,3,7,Cuartil 3,3
I. Río Negro,2018.4,32,2018,4,8,Cuartil 3,3
I. Salto,2018.1,91,2018,1,5,Cuartil 4,4
I. Salto,2018.2,230,2018,2,6,Cuartil 4,4
I. Salto,2018.3,25,2018,3,7,Cuartil 2,2
I. Salto,2018.4,25,2018,4,8,Cuartil 2,2
I. San José,2018.1,10,2018,1,5,Cuartil 2,2
I. San José,2018.2,55,2018,2,6,Cuartil 3,3
I. San José,2018.3,10,2018,3,7,Cuartil 2,2
I. San José,2018.4,19,2018,4,8,Cuartil 2,2
