anio,iditem,monto_estandar,cantidad_estandar,unidad_estandar
2017,1798,2,150,UNIDADES
2017,1798,24,110,UNIDADES
2017,1798,1,100,UNIDADES
2017,1798,1,1000,UNIDADES
2017,1798,56,50,UNIDADES
2017,1798,1,1000,UNIDADES
2017,1798,2,100,UNIDADES
2017,1798,65,50,UNIDADES
2017,1798,22,50,UNIDADES
2017,1798,44,2,UNIDADES
2017,1798,48,10,UNIDADES
2017,1798,3,400,UNIDADES
2017,1798,117,5,UNIDADES
2017,1798,1,100,UNIDADES
2017,1798,1,250,UNIDADES
2017,1798,1,50,UNIDADES
2017,1798,4,200,UNIDADES
2017,1798,65,1,UNIDADES
2017,1798,17,4,UNIDADES
2017,1798,1,50,UNIDADES
2017,1798,2,50,UNIDADES
2017,1798,109,2,UNIDADES
2018,1798,56,100,UNIDADES
2018,1798,4,500,UNIDADES
2018,1798,1,500,UNIDADES
2018,1798,3,1000,UNIDADES
2018,1798,33,3,UNIDADES
2018,1798,41,2,UNIDADES
2018,1798,1,150,UNIDADES
2018,1798,33,10,UNIDADES
2018,1798,41,10,UNIDADES
2018,1798,79,30,UNIDADES
2018,1798,4,1000,UNIDADES
2018,1798,1,500,UNIDADES
2018,1798,1,600,UNIDADES
2018,1798,37,110,UNIDADES
2018,1798,13,150,UNIDADES
2018,1798,13,150,UNIDADES
2018,1798,7,300,UNIDADES
2018,1798,8,3,UNIDADES
2018,1798,46,3,UNIDADES
2018,1798,16,10000,UNIDADES
2018,1798,27,12,UNIDADES
2018,1798,64,200,UNIDADES
2018,1798,9,2,UNIDADES
2018,1798,19,300,UNIDADES
2018,1798,2,5000,UNIDADES
2018,1798,1,1000,UNIDADES
2019,1798,38,10,UNIDADES
2018,1798,56,1,UNIDADES
2018,1798,72,2,UNIDADES
2019,1798,2,100,UNIDADES
2019,1798,19,1,UNIDADES
2019,1798,32,10,UNIDADES
2019,1798,1,500,UNIDADES
2019,1798,1,100,UNIDADES
2019,1798,2,1000,UNIDADES
2019,1798,1,1000,UNIDADES
2019,1798,3,10,UNIDADES
2019,1798,51,10,UNIDADES
2019,1798,1,100,UNIDADES
2019,1798,2,150,UNIDADES
2019,1798,1,3000,UNIDADES
2019,1798,2,100,UNIDADES
2019,1798,65,15,UNIDADES
2019,1798,41,350,UNIDADES
2019,1798,1,10000,UNIDADES
2019,1798,3,200,UNIDADES
2019,1798,1,100,UNIDADES
2019,1798,34,25,UNIDADES
2019,1798,34,8,UNIDADES
2019,1798,103,10,UNIDADES
2019,1798,76,1,UNIDADES
2019,1798,2,150,UNIDADES
2019,1798,32,2,UNIDADES
2019,1798,2,100,UNIDADES
2019,1798,25,300,UNIDADES
2019,1798,1,100,UNIDADES
2019,1798,3,1,UNIDADES
2019,1798,18,4,UNIDADES
2019,1798,1,100,UNIDADES
2019,1798,4,1,UNIDADES
2019,1798,67,10,UNIDADES
2019,1798,5,1,UNIDADES
2019,1798,82,3,UNIDADES
2019,1798,1,1000,UNIDADES
2019,1798,1,2550,UNIDADES
2019,1798,117,1,UNIDADES
2019,1798,1,200,UNIDADES
2019,1798,89,2,UNIDADES
2019,1798,4,1,UNIDADES
2019,1798,2,10,UNIDADES
2019,1798,2,100,UNIDADES
2019,1798,3,50,UNIDADES
2019,1798,2,500,UNIDADES
2019,1798,1,550,UNIDADES
2019,1798,1,2000,UNIDADES
2019,1798,1,600,UNIDADES
2019,1798,14,5,UNIDADES
2020,1798,8,1000,UNIDADES
2020,1798,5,40800,UNIDADES
2020,1798,4,4000,UNIDADES
2020,1798,5,5000,UNIDADES
2020,1798,5,14000,UNIDADES
2020,1798,2,30000,UNIDADES
2020,1798,9,1500,UNIDADES
2020,1798,2,100,UNIDADES
2020,1798,7,9600,UNIDADES
2020,1798,8,800,UNIDADES
2020,1798,8,1000,UNIDADES
2020,1798,6,250,UNIDADES
2020,1798,17,3000,UNIDADES
2020,1798,16,12750,UNIDADES
2020,1798,9,500,UNIDADES
2020,1798,46,3000,UNIDADES
2020,1798,17,1000,UNIDADES
2020,1798,10,3000,UNIDADES
2020,1798,20,5000,UNIDADES
2020,1798,9,5000,UNIDADES
2020,1798,13,5800,UNIDADES
2020,1798,13,4000,UNIDADES
2020,1798,13,15510,UNIDADES
2020,1798,21,7400,UNIDADES
2020,1798,21,7400,UNIDADES
2020,1798,8,300,UNIDADES
2020,1798,17,3000,UNIDADES
2020,1798,17,9000,UNIDADES
2020,1798,9,5000,UNIDADES
2020,1798,17,100,UNIDADES
2020,1798,17,10000,UNIDADES
2020,1798,17,2000,UNIDADES
2020,1798,14,17000,UNIDADES
2020,1798,19,1000,UNIDADES
2020,1798,26,4000,UNIDADES
2020,1798,21,2000,UNIDADES
2020,1798,8,1000,UNIDADES
2020,1798,11,1000,UNIDADES
2020,1798,17,10000,UNIDADES
2020,1798,11,3000,UNIDADES
2020,1798,17,200,UNIDADES
2020,1798,19,3000,UNIDADES
2020,1798,18,1000,UNIDADES
2020,1798,9,2250,UNIDADES
2020,1798,15,6000,UNIDADES
2020,1798,17,100,UNIDADES
2020,1798,17,9600,UNIDADES
2020,1798,17,300,UNIDADES
2020,1798,17,300,UNIDADES
2020,1798,15,3000,UNIDADES
2020,1798,13,6000,UNIDADES
2020,1798,14,100,UNIDADES
2020,1798,23,500,UNIDADES
2020,1798,16,10000,UNIDADES
2020,1798,14,30000,UNIDADES
2020,1798,13,400,UNIDADES
2020,1798,15,9000,UNIDADES
2020,1798,14,10000,UNIDADES
2020,1798,16,8000,UNIDADES
2020,1798,19,1000,UNIDADES
2020,1798,10,5000,UNIDADES
2020,1798,15,10500,UNIDADES
2020,1798,9,100,UNIDADES
2020,1798,13,5000,UNIDADES
2020,1798,23,200,UNIDADES
2020,1798,19,200,UNIDADES
2020,1798,10,6000,UNIDADES
2020,1798,39,1500,UNIDADES
2020,1798,90,200,UNIDADES
2020,1798,6,2000,UNIDADES
2020,1798,17,4000,UNIDADES
2020,1798,32,300,UNIDADES
2020,1798,17,200,UNIDADES
2020,1798,15,300,UNIDADES
2020,1798,9,2000,UNIDADES
2020,1798,14,1700,UNIDADES
2020,1798,7,500,UNIDADES
2020,1798,32,4000,UNIDADES
2020,1798,16,100,UNIDADES
2020,1798,19,500,UNIDADES
2020,1798,20,3640,UNIDADES
2020,1798,13,500,UNIDADES
2020,1798,16,300000,UNIDADES
2020,1798,13,400,UNIDADES
2020,1798,20,2000,UNIDADES
2020,1798,15,40,UNIDADES
2020,1798,4,100,UNIDADES
2020,1798,12,300,UNIDADES
2020,1798,18,10000,UNIDADES
2020,1798,32,300,UNIDADES
2020,1798,16,4000,UNIDADES
2020,1798,21,500,UNIDADES
2020,1798,39,200,UNIDADES
2020,1798,49,1000,UNIDADES
2020,1798,13,800,UNIDADES
2020,1798,17,2000,UNIDADES
2020,1798,39,150,UNIDADES
2020,1798,16,2500,UNIDADES
2020,1798,12,200,UNIDADES
2020,1798,22,3000,UNIDADES
2020,1798,42,120,UNIDADES
2020,1798,23,100,UNIDADES
2020,1798,20,1000,UNIDADES
2020,1798,14,600,UNIDADES
2020,1798,3,5000,UNIDADES
2020,1798,25,40,UNIDADES
2020,1798,25,700,UNIDADES
2020,1798,11,10000,UNIDADES
2020,1798,31,1500,UNIDADES
2020,1798,28,800,UNIDADES
2020,1798,10,200,UNIDADES
2020,1798,27,150,UNIDADES
2020,1798,21,100,UNIDADES
2020,1798,28,10,UNIDADES
2020,1798,22,90,UNIDADES
2020,1798,20,3000,UNIDADES
2020,1798,10,1800,UNIDADES
2020,1798,9,1500,UNIDADES
2020,1798,10,50,UNIDADES
2020,1798,31,10,UNIDADES
2020,1798,28,20,UNIDADES
2020,1798,26,1,UNIDADES
2020,1798,12,1000,UNIDADES
2020,1798,26,35,UNIDADES
2020,1798,10,500,UNIDADES
2020,1798,15,5800,UNIDADES
2020,1798,52,800,UNIDADES
2020,1798,15,20000,UNIDADES
2020,1798,13,22000,UNIDADES
2020,1798,24,10000,UNIDADES
2020,1798,13,18000,UNIDADES
2020,1798,25,20000,UNIDADES
2020,1798,13,35000,UNIDADES
2020,1798,15,480,UNIDADES
2020,1798,14,300,UNIDADES
2020,1798,26,500,UNIDADES
2020,1798,15,500,UNIDADES
2020,1798,9,100,UNIDADES
2020,1798,32,700,UNIDADES
2020,1798,14,100,UNIDADES
2020,1798,7,42000,UNIDADES
2020,1798,20,2000,UNIDADES
2020,1798,21,500,UNIDADES
2020,1798,88,60,UNIDADES
2020,1798,9,5000,UNIDADES
2020,1798,27,200,UNIDADES
2020,1798,16,500,UNIDADES
2020,1798,90,30,UNIDADES
2020,1798,12,333,UNIDADES
2020,1798,12,333,UNIDADES
2020,1798,12,334,UNIDADES
2020,1798,29,1000,UNIDADES
2020,1798,7,500,UNIDADES
2020,1798,42,250,UNIDADES
2020,1798,24,59200,UNIDADES
2020,1798,8,460000,UNIDADES
2020,1798,7,5000,UNIDADES
2020,1798,13,500,UNIDADES
2020,1798,15,300,UNIDADES
2020,1798,9,2000,UNIDADES
2020,1798,14,1700,UNIDADES
2020,1798,15,2000,UNIDADES
2020,1798,6,1000,UNIDADES
2020,1798,15,10000,UNIDADES
2020,1798,10,10000,UNIDADES
2020,1798,10,15000,UNIDADES
2020,1798,49,10,UNIDADES
2020,1798,10,100,UNIDADES
2020,1798,11,80,UNIDADES
2020,1798,6,500,UNIDADES
2020,1798,47,180,UNIDADES
2020,1798,11,10000,UNIDADES
2020,1798,12,1000,UNIDADES
2020,1798,27,1000,UNIDADES
2020,1798,6,300,UNIDADES
2020,1798,4,7500,UNIDADES
2020,1798,23,50,UNIDADES
2020,1798,6,500,UNIDADES
2020,1798,4,2000,UNIDADES
2020,1798,15,30000,UNIDADES
2020,1798,97,50,UNIDADES
2020,1798,4,10000,UNIDADES
2020,1798,15,2000,UNIDADES
2020,1798,14,1700,UNIDADES
2020,1798,30,2500,UNIDADES
2020,1798,46,100,UNIDADES
2020,1798,6,50,UNIDADES
2020,1798,95,100,UNIDADES
2020,1798,3,10000,UNIDADES
2020,1798,3,12000,UNIDADES
2020,1798,3,2000,UNIDADES
2020,1798,5,100,UNIDADES
2020,1798,19,100,UNIDADES
2020,1798,48,500,UNIDADES
2020,1798,3,10400,UNIDADES
2020,1798,69,40,UNIDADES
2020,1798,13,100,UNIDADES
2020,1798,13,100,UNIDADES
2020,1798,12,400,UNIDADES
2020,1798,38,200,UNIDADES
2020,1798,26,200,UNIDADES
2020,1798,12,2000,UNIDADES
2020,1798,2,4000,UNIDADES
2020,1798,11,200,UNIDADES
2020,1798,11,80,UNIDADES
