articulo,Total
Gasoil comun,4461.1
Gestion de proyectos tic,2793.3
Alcohol etilico eucaliptado (etanol),1817.1
Arrendamiento de sala de juego,962.8
Determinacion del virus sars cov-2 por pcr en tiempo real,764.8
Minicargadora sobre ruedas,742.4
Limpieza integral de locales,720.5
Kit para determinacion del virus sars cov-2 por pcr en tiempo real,687.7
Servicio de vigilancia,558.9
Servicio de mecanica automotriz,509.2
