organismo_codigo,monto_total,organismo_nombre,organismo_sigla,categoria
48,550,Intendencia de Canelones,I. Canelones,Gobiernos Departamentales
23,594,Administración Nacional de Educación Pública,ANEP,Entes autónomos
66,735,Administración Nacional de Puertos,ANP,Servicios descentralizados
39,742,Intendencia de Rivera,I. Rivera,Gobiernos Departamentales
10,885,Ministerio de Defensa Nacional,MDN,Administración Central
14,914,Ministerio de Desarrollo Social,MIDES,Administración Central
28,1379,Intendencia de Montevideo,I. Montevideo,Gobiernos Departamentales
32,1661,Administración de las Obras Sanitarias del Estado,OSE,Servicios descentralizados
3,1750,Ministerio del Interior,MI,Administración Central
2,2281,Ministerio de Economía y Finanzas,MEF,Administración Central
56,2401,Administración Nacional de Usinas y Trasmisiones Eléctricas,UTE,Entes autónomos
17,2650,Ministerio de Salud Pública,MSP,Administración Central
18,2765,Administración de Servicios de Salud del Estado,ASSE,Servicios descentralizados
24,2965,Banco de la República del Uruguay,BROU,Entes autónomos
59,31430,"Administración Nacional de Combustible, Alcohol y Portland",ANCAP,Entes autónomos
