anio,iditem,monto_estandar,cantidad_estandar,unidad_estandar
2017,7682,568,5,UNIDADES
2017,7682,269,2,UNIDADES
2017,7682,882,5,UNIDADES
2017,7682,269,2,UNIDADES
2017,7682,269,2,UNIDADES
2017,7682,442,2,UNIDADES
2017,7682,1231,3,UNIDADES
2017,7682,1327,3,UNIDADES
2017,7682,1327,3,UNIDADES
2017,7682,1327,3,UNIDADES
2017,7682,475,1,UNIDADES
2017,7682,1728,30,UNIDADES
2017,7682,1995,30,UNIDADES
2017,7682,2455,2,UNIDADES
2017,7682,461,1,UNIDADES
2017,7682,188,1,UNIDADES
2017,7682,2623,8,UNIDADES
2017,7682,457,1,UNIDADES
2017,7682,1947,3,UNIDADES
2017,7682,1269,5,UNIDADES
2017,7682,370,3,UNIDADES
2017,7682,1207,4,UNIDADES
2017,7682,1740,5,UNIDADES
2017,7682,1740,2,UNIDADES
2017,7682,1740,2,UNIDADES
2017,7682,548,4,UNIDADES
2017,7682,490,2,UNIDADES
2017,7682,710,2,UNIDADES
2017,7682,688,3,UNIDADES
2017,7682,1509,20,UNIDADES
2017,7682,1775,10,UNIDADES
2017,7682,1710,4,UNIDADES
2017,7682,1347,10,UNIDADES
2017,7682,809,3,UNIDADES
2017,7682,1319,6,UNIDADES
2017,7682,188,2,UNIDADES
2017,7682,2470,1,UNIDADES
2017,7682,1484,2,UNIDADES
2017,7682,1137,6,UNIDADES
2017,7682,1846,48,UNIDADES
2017,7682,1846,48,UNIDADES
2017,7682,233,10,UNIDADES
2017,7682,291,30,UNIDADES
2017,7682,1238,30,UNIDADES
2017,7682,1702,3,UNIDADES
2017,7682,1702,4,UNIDADES
2017,7682,1702,3,UNIDADES
2017,7682,411,7,UNIDADES
2017,7682,936,3,UNIDADES
2017,7682,1101,1,UNIDADES
2017,7682,115,4,UNIDADES
2017,7682,1908,4,UNIDADES
2017,7682,775,1,UNIDADES
2017,7682,623,2,UNIDADES
2017,7682,888,1,UNIDADES
2017,7682,888,1,UNIDADES
2017,7682,888,1,UNIDADES
2017,7682,888,1,UNIDADES
2017,7682,1552,1,UNIDADES
2017,7682,720,5,UNIDADES
2017,7682,1180,4,UNIDADES
2017,7682,1679,6,UNIDADES
2017,7682,1701,4,UNIDADES
2017,7682,1701,4,UNIDADES
2017,7682,1701,4,UNIDADES
2017,7682,2419,6,UNIDADES
2018,7682,1295,5,UNIDADES
2018,7682,164,5,UNIDADES
2018,7682,554,5,UNIDADES
2018,7682,1526,10,UNIDADES
2018,7682,1504,5,UNIDADES
2018,7682,164,5,UNIDADES
2018,7682,1504,5,UNIDADES
2018,7682,1662,20,UNIDADES
2018,7682,1504,5,UNIDADES
2018,7682,306,5,UNIDADES
2018,7682,1504,5,UNIDADES
2018,7682,306,5,UNIDADES
2018,7682,306,5,UNIDADES
2018,7682,306,5,UNIDADES
2018,7682,529,5,UNIDADES
2018,7682,529,5,UNIDADES
2018,7682,529,5,UNIDADES
2017,7682,1855,1,UNIDADES
2017,7682,1471,2,UNIDADES
2017,7682,116,2,UNIDADES
2017,7682,1944,3,UNIDADES
2017,7682,1357,3,UNIDADES
2017,7682,2026,1,UNIDADES
2017,7682,894,2,UNIDADES
2018,7682,888,4,UNIDADES
2018,7682,678,12,UNIDADES
2018,7682,281,1,UNIDADES
2018,7682,2429,10,UNIDADES
2018,7682,788,1,UNIDADES
2018,7682,417,2,UNIDADES
2018,7682,380,3,UNIDADES
2018,7682,408,3,UNIDADES
2018,7682,704,5,UNIDADES
2018,7682,1981,3,UNIDADES
2018,7682,138,2,UNIDADES
2018,7682,221,2,UNIDADES
2018,7682,551,24,UNIDADES
2018,7682,215,1,UNIDADES
2018,7682,254,2,UNIDADES
2018,7682,132,8,UNIDADES
2018,7682,861,32,UNIDADES
2018,7682,166,60,UNIDADES
2018,7682,237,2,UNIDADES
2018,7682,1578,4,UNIDADES
2018,7682,248,6,UNIDADES
2018,7682,248,1,UNIDADES
2018,7682,1595,13,UNIDADES
2018,7682,2037,2,UNIDADES
2018,7682,2180,1,UNIDADES
2018,7682,1230,6,UNIDADES
2018,7682,801,6,UNIDADES
2018,7682,1493,1,UNIDADES
2018,7682,1236,25,UNIDADES
2018,7682,276,3,UNIDADES
2018,7682,1830,3,UNIDADES
2018,7682,2308,5,UNIDADES
2018,7682,1191,6,UNIDADES
2018,7682,375,5,UNIDADES
2018,7682,1350,7,UNIDADES
2018,7682,2308,5,UNIDADES
2018,7682,1111,6,UNIDADES
2018,7682,1301,3,UNIDADES
2018,7682,1710,4,UNIDADES
2018,7682,1894,2,UNIDADES
2018,7682,2342,2,UNIDADES
2018,7682,534,1,UNIDADES
2018,7682,1426,6,UNIDADES
2018,7682,618,3,UNIDADES
2018,7682,2856,2,UNIDADES
2018,7682,2051,1,UNIDADES
2018,7682,540,15,UNIDADES
2018,7682,406,8,UNIDADES
2018,7682,427,1,UNIDADES
2018,7682,2470,5,UNIDADES
2018,7682,1684,5,UNIDADES
2018,7682,1673,2,UNIDADES
2018,7682,1670,2,UNIDADES
2018,7682,2046,2,UNIDADES
2018,7682,330,1,UNIDADES
2018,7682,2040,1,UNIDADES
2018,7682,262,11,UNIDADES
2018,7682,354,3,UNIDADES
2018,7682,1318,2,UNIDADES
2018,7682,367,4,UNIDADES
2018,7682,498,1,UNIDADES
2018,7682,1447,1,UNIDADES
2018,7682,475,3,UNIDADES
2018,7682,475,2,UNIDADES
2018,7682,1009,1,UNIDADES
2018,7682,1653,14,UNIDADES
2018,7682,1364,3,UNIDADES
2018,7682,1454,3,UNIDADES
2018,7682,197,4,UNIDADES
2018,7682,252,30,UNIDADES
2018,7682,153,25,UNIDADES
2018,7682,134,30,UNIDADES
2018,7682,196,25,UNIDADES
2018,7682,225,15,UNIDADES
2018,7682,177,30,UNIDADES
2018,7682,228,15,UNIDADES
2018,7682,368,40,UNIDADES
2018,7682,634,40,UNIDADES
2018,7682,727,5,UNIDADES
2018,7682,1361,2,UNIDADES
2018,7682,1825,2,UNIDADES
2018,7682,1283,3,UNIDADES
2018,7682,478,8,UNIDADES
2019,7682,354,10,UNIDADES
2019,7682,2487,1,UNIDADES
2019,7682,1647,2,UNIDADES
2019,7682,2269,1,UNIDADES
2019,7682,1122,4,UNIDADES
2019,7682,1555,9,UNIDADES
2019,7682,1823,5,UNIDADES
2019,7682,514,5,UNIDADES
2019,7682,380,3,UNIDADES
2019,7682,694,4,UNIDADES
2019,7682,144,8,UNIDADES
2019,7682,123,2,UNIDADES
2019,7682,159,8,UNIDADES
2019,7682,164,200,UNIDADES
2019,7682,1511,200,UNIDADES
2019,7682,2052,1,UNIDADES
2019,7682,1751,4,UNIDADES
2019,7682,1440,4,UNIDADES
2019,7682,1289,20,UNIDADES
2019,7682,2047,2,UNIDADES
2019,7682,2047,1,UNIDADES
2019,7682,2047,4,UNIDADES
2019,7682,176,3,UNIDADES
2019,7682,317,4,UNIDADES
2019,7682,416,4,UNIDADES
2019,7682,1155,1,UNIDADES
2019,7682,484,3,UNIDADES
2019,7682,656,4,UNIDADES
2019,7682,1874,1,UNIDADES
2019,7682,1806,3,UNIDADES
2019,7682,2745,4,UNIDADES
2019,7682,1384,4,UNIDADES
2019,7682,172,1,UNIDADES
2019,7682,172,1,UNIDADES
2019,7682,248,2,UNIDADES
2019,7682,534,1,UNIDADES
2019,7682,768,6,UNIDADES
2019,7682,922,3,UNIDADES
2019,7682,1151,1,UNIDADES
2019,7682,413,6,UNIDADES
2019,7682,1932,2,UNIDADES
2019,7682,2255,4,UNIDADES
2019,7682,980,6,UNIDADES
2019,7682,803,4,UNIDADES
2019,7682,1120,1,UNIDADES
2019,7682,901,6,UNIDADES
2019,7682,990,10,UNIDADES
2019,7682,1113,2,UNIDADES
2019,7682,1423,1,UNIDADES
2019,7682,1576,4,UNIDADES
