organismo_sigla,trimestre,monto_total,anio,tri,Trimestre,monto_cuartil,cuartil
ANC,2017.1,46,2017,1,1,Cuartil 2,2
ANC,2017.2,38,2017,2,2,Cuartil 2,2
ANC,2017.3,30,2017,3,3,Cuartil 2,2
ANC,2017.4,25,2017,4,4,Cuartil 2,2
ANP,2017.1,241,2017,1,1,Cuartil 3,3
ANP,2017.2,1220,2017,2,2,Cuartil 4,4
ANP,2017.3,1249,2017,3,3,Cuartil 4,4
ANP,2017.4,138,2017,4,4,Cuartil 3,3
ANV,2017.2,3,2017,2,2,Cuartil 1,1
ASSE,2017.1,273,2017,1,1,Cuartil 3,3
ASSE,2017.2,1489,2017,2,2,Cuartil 4,4
ASSE,2017.3,167,2017,3,3,Cuartil 3,3
ASSE,2017.4,231,2017,4,4,Cuartil 3,3
FGN,2017.1,10,2017,1,1,Cuartil 1,1
FGN,2017.2,12,2017,2,2,Cuartil 1,1
FGN,2017.3,4,2017,3,3,Cuartil 1,1
FGN,2017.4,30,2017,4,4,Cuartil 2,2
INAU,2017.1,46,2017,1,1,Cuartil 2,2
INAU,2017.2,64,2017,2,2,Cuartil 3,3
INAU,2017.3,29,2017,3,3,Cuartil 2,2
INAU,2017.4,433,2017,4,4,Cuartil 4,4
INUMET,2017.1,5,2017,1,1,Cuartil 1,1
INUMET,2017.2,9,2017,2,2,Cuartil 1,1
INUMET,2017.3,3,2017,3,3,Cuartil 1,1
INUMET,2017.4,13,2017,4,4,Cuartil 1,1
OSE,2017.1,1120,2017,1,1,Cuartil 4,4
OSE,2017.2,336,2017,2,2,Cuartil 4,4
OSE,2017.3,697,2017,3,3,Cuartil 4,4
OSE,2017.4,262,2017,4,4,Cuartil 3,3
ANC,2018.1,124,2018,1,5,Cuartil 3,3
ANC,2018.2,29,2018,2,6,Cuartil 2,2
ANC,2018.3,38,2018,3,7,Cuartil 2,2
ANC,2018.4,26,2018,4,8,Cuartil 1,1
ANP,2018.1,399,2018,1,5,Cuartil 4,4
ANP,2018.2,204,2018,2,6,Cuartil 3,3
ANP,2018.3,90,2018,3,7,Cuartil 3,3
ANP,2018.4,133,2018,4,8,Cuartil 3,3
ANV,2018.1,0,2018,1,5,Cuartil 1,1
ASSE,2018.1,445,2018,1,5,Cuartil 4,4
ASSE,2018.2,432,2018,2,6,Cuartil 4,4
ASSE,2018.3,328,2018,3,7,Cuartil 3,3
ASSE,2018.4,572,2018,4,8,Cuartil 4,4
FGN,2018.1,6,2018,1,5,Cuartil 1,1
FGN,2018.2,3,2018,2,6,Cuartil 1,1
FGN,2018.3,26,2018,3,7,Cuartil 1,1
FGN,2018.4,13,2018,4,8,Cuartil 1,1
INAU,2018.1,54,2018,1,5,Cuartil 2,2
INAU,2018.2,47,2018,2,6,Cuartil 2,2
INAU,2018.3,48,2018,3,7,Cuartil 2,2
INAU,2018.4,61,2018,4,8,Cuartil 3,3
INUMET,2018.1,1,2018,1,5,Cuartil 1,1
INUMET,2018.2,9,2018,2,6,Cuartil 1,1
INUMET,2018.3,8,2018,3,7,Cuartil 1,1
INUMET,2018.4,33,2018,4,8,Cuartil 2,2
OSE,2018.1,661,2018,1,5,Cuartil 4,4
OSE,2018.2,2508,2018,2,6,Cuartil 4,4
OSE,2018.3,443,2018,3,7,Cuartil 4,4
OSE,2018.4,380,2018,4,8,Cuartil 3,3
ANC,2019.1,28,2019,1,9,Cuartil 2,2
ANC,2019.2,11,2019,2,10,Cuartil 2,2
ANC,2019.3,58,2019,3,11,Cuartil 3,3
ANC,2019.4,19,2019,4,12,Cuartil 2,2
ANP,2019.1,2329,2019,1,9,Cuartil 4,4
ANP,2019.2,67,2019,2,10,Cuartil 3,3
ANP,2019.3,1593,2019,3,11,Cuartil 4,4
ANP,2019.4,172,2019,4,12,Cuartil 3,3
ANV,2019.3,0,2019,3,11,Cuartil 1,1
ANV,2019.4,3,2019,4,12,Cuartil 1,1
ASSE,2019.1,405,2019,1,9,Cuartil 4,4
ASSE,2019.2,396,2019,2,10,Cuartil 3,3
ASSE,2019.3,522,2019,3,11,Cuartil 4,4
ASSE,2019.4,997,2019,4,12,Cuartil 4,4
FGN,2019.1,3,2019,1,9,Cuartil 1,1
FGN,2019.2,4,2019,2,10,Cuartil 1,1
FGN,2019.3,5,2019,3,11,Cuartil 1,1
FGN,2019.4,13,2019,4,12,Cuartil 2,2
INAU,2019.1,17,2019,1,9,Cuartil 2,2
INAU,2019.2,46,2019,2,10,Cuartil 3,3
INAU,2019.3,65,2019,3,11,Cuartil 3,3
INAU,2019.4,57,2019,4,12,Cuartil 3,3
INISA,2019.1,0,2019,1,9,Cuartil 1,1
INISA,2019.2,1,2019,2,10,Cuartil 1,1
INISA,2019.3,3,2019,3,11,Cuartil 1,1
INISA,2019.4,12,2019,4,12,Cuartil 2,2
INUMET,2019.1,6,2019,1,9,Cuartil 2,2
INUMET,2019.2,2,2019,2,10,Cuartil 1,1
INUMET,2019.3,9,2019,3,11,Cuartil 2,2
INUMET,2019.4,29,2019,4,12,Cuartil 3,3
OSE,2019.1,460,2019,1,9,Cuartil 4,4
OSE,2019.2,661,2019,2,10,Cuartil 4,4
OSE,2019.3,534,2019,3,11,Cuartil 4,4
OSE,2019.4,470,2019,4,12,Cuartil 4,4
ANC,2020.1,21,2020,1,13,Cuartil 3,3
ANC,2020.2,18,2020,2,14,Cuartil 2,2
ANC,2020.3,32,2020,3,15,Cuartil 3,3
ANC,2020.4,18,2020,4,16,Cuartil 2,2
ANP,2020.1,222,2020,1,13,Cuartil 3,3
ANP,2020.2,250,2020,2,14,Cuartil 4,4
ANP,2020.3,123,2020,3,15,Cuartil 3,3
ANP,2020.4,85,2020,4,16,Cuartil 3,3
ANV,2020.1,1,2020,1,13,Cuartil 1,1
ANV,2020.2,1,2020,2,14,Cuartil 1,1
ANV,2020.3,1,2020,3,15,Cuartil 1,1
ANV,2020.4,0,2020,4,16,Cuartil 1,1
ASSE,2020.1,647,2020,1,13,Cuartil 4,4
ASSE,2020.2,357,2020,2,14,Cuartil 4,4
ASSE,2020.3,373,2020,3,15,Cuartil 4,4
ASSE,2020.4,419,2020,4,16,Cuartil 4,4
FGN,2020.1,21,2020,1,13,Cuartil 3,3
FGN,2020.2,5,2020,2,14,Cuartil 2,2
FGN,2020.3,8,2020,3,15,Cuartil 2,2
FGN,2020.4,4,2020,4,16,Cuartil 1,1
INAU,2020.1,21,2020,1,13,Cuartil 3,3
INAU,2020.2,74,2020,2,14,Cuartil 3,3
INAU,2020.3,18,2020,3,15,Cuartil 2,2
INAU,2020.4,16,2020,4,16,Cuartil 2,2
INISA,2020.1,23,2020,1,13,Cuartil 3,3
INISA,2020.2,3,2020,2,14,Cuartil 1,1
INISA,2020.3,3,2020,3,15,Cuartil 1,1
INISA,2020.4,5,2020,4,16,Cuartil 2,2
INUMET,2020.1,6,2020,1,13,Cuartil 2,2
INUMET,2020.2,1,2020,2,14,Cuartil 1,1
INUMET,2020.3,3,2020,3,15,Cuartil 1,1
INUMET,2020.4,19,2020,4,16,Cuartil 2,2
OSE,2020.1,499,2020,1,13,Cuartil 4,4
OSE,2020.2,413,2020,2,14,Cuartil 4,4
OSE,2020.3,247,2020,3,15,Cuartil 4,4
OSE,2020.4,560,2020,4,16,Cuartil 4,4
ANC,2021.1,5,2021,1,17,Cuartil 2,2
ANC,2021.2,12,2021,2,18,Cuartil 3,3
ANC,2021.3,18,2021,3,19,Cuartil 3,3
ANC,2021.4,4,2021,4,20,Cuartil 2,2
ANP,2021.1,55,2021,1,17,Cuartil 3,3
ANP,2021.2,126,2021,2,18,Cuartil 4,4
ANP,2021.3,460,2021,3,19,Cuartil 4,4
ANP,2021.4,140,2021,4,20,Cuartil 4,4
ANTEL,2021.3,3,2021,3,19,Cuartil 1,1
ANV,2021.3,0,2021,3,19,Cuartil 1,1
ANV,2021.4,0,2021,4,20,Cuartil 1,1
ASSE,2021.1,420,2021,1,17,Cuartil 4,4
ASSE,2021.2,911,2021,2,18,Cuartil 4,4
ASSE,2021.3,1008,2021,3,19,Cuartil 4,4
ASSE,2021.4,455,2021,4,20,Cuartil 4,4
FGN,2021.1,34,2021,1,17,Cuartil 3,3
FGN,2021.2,4,2021,2,18,Cuartil 2,2
FGN,2021.3,6,2021,3,19,Cuartil 2,2
FGN,2021.4,9,2021,4,20,Cuartil 2,2
INAU,2021.1,23,2021,1,17,Cuartil 3,3
INAU,2021.2,14,2021,2,18,Cuartil 3,3
INAU,2021.3,51,2021,3,19,Cuartil 3,3
INAU,2021.4,47,2021,4,20,Cuartil 3,3
INISA,2021.1,3,2021,1,17,Cuartil 1,1
INISA,2021.2,3,2021,2,18,Cuartil 1,1
INISA,2021.3,25,2021,3,19,Cuartil 3,3
INISA,2021.4,5,2021,4,20,Cuartil 2,2
INUMET,2021.1,4,2021,1,17,Cuartil 2,2
INUMET,2021.2,2,2021,2,18,Cuartil 1,1
INUMET,2021.3,3,2021,3,19,Cuartil 1,1
INUMET,2021.4,17,2021,4,20,Cuartil 3,3
OSE,2021.1,403,2021,1,17,Cuartil 4,4
OSE,2021.2,218,2021,2,18,Cuartil 4,4
OSE,2021.3,544,2021,3,19,Cuartil 4,4
OSE,2021.4,629,2021,4,20,Cuartil 4,4
URSEA,2021.1,5,2021,1,17,Cuartil 2,2
URSEA,2021.2,0,2021,2,18,Cuartil 1,1
URSEA,2021.3,1,2021,3,19,Cuartil 1,1
URSEA,2021.4,11,2021,4,20,Cuartil 2,2
URSEC,2021.1,1,2021,1,17,Cuartil 1,1
URSEC,2021.2,2,2021,2,18,Cuartil 1,1
