organismo_sigla,denominacion_social,total,empresa,prop
Presidencia,"Otros
62.57%",129284.3,Otros,62.57
Presidencia,"ASOCIACION CIVIL EL ABROJO INSTITUTO DE EDUCACION
4.58%",9471,ASOCIACION CIVIL EL ABROJO INSTITUTO DE EDUCACION,4.58
Presidencia,"DESKIN S.A.
5.37%",11097.6,DESKIN S.A.,5.37
Presidencia,"FUNDACION A GANAR
8.44%",17431.3,FUNDACION A GANAR,8.44
Presidencia,"GOFINAL S A
14.23%",29399.2,GOFINAL S A,14.23
Presidencia,"NEDORIL S A
4.81%",9936.7,NEDORIL S A,4.81
