articulo,Total
Alcohol etilico eucaliptado (etanol),2014.4
Gasoil comun,1538.6
Arrendamiento de sala de juego,934.8
Limpieza integral de locales,690.9
Servicio de vigilancia,671.5
Servicio de mecanica automotriz,519.4
Elaboracion de proyecto de obra,444.2
Servicio de consultoria,431.7
Contratacion de mano de obra,406.8
Arrendamiento de local,385.7
